,0,1,2,3
0,2020-02-06 15:41:56+00:00,KilleenPD,"SAFER INTERNET DAY February 11, 2020 Visit http://icactaskforce.org for videos and resources on how to keep our children and youth safe while using digital technology.",
1,2020-02-04 00:21:06+00:00,KilleenPD,It's your community! Join us to make it a better one!,
2,2020-02-03 16:18:39+00:00,KilleenPD,"We hope everybody enjoyed the big game yesterday. Now, it's time to get to work! If you are thinking about changing your career, submit an online application and see if you can join a team dedicated to improving your community. Go to http://www.killeenpd.com today!",
3,2020-02-01 17:38:42+00:00,KilleenPD,"It’s not too late! If you would like to wear this patch, apply online today. Go to http://www.killeenpd.com and join your community in making Killeen a safer place!",
4,2020-02-01 14:26:53+00:00,KilleenPD,Our prayers are with the community & members of the @CorpusChristiPD. ,
5,2020-01-26 04:32:32+00:00,KilleenPD,"It’s not too late! The Killeen Police Department is still taking online applications for the position of Police Officer. To “Wear the Badge and Make a Diiference”, go to http://www.killeenpd.com and submit an application today.",
6,2020-01-23 15:16:31+00:00,KilleenPD,"Officers responded to the 3600 block of Littleleaf Drive at 11:58 a.m., on Tues, January 14, 2020, after receiving a 911 call in reference to an unresponsive and not breathing two...",
7,2020-01-23 01:44:16+00:00,KilleenPD,"Just a friendly reminder that the Killeen Police Department is currently recruiting for the position of Police Officer. If you have a desire to serve your community and are interested in joining our team, be sure to submit an on-line application.",
8,2020-01-16 16:54:35+00:00,KilleenPD,"On Wednesday, January 15, 2020, a Killeen Police Officer was patrolling in the 8200 block of E. Trimmier and drove up on a crash at approximately 10:29 p.m. The officer observed a female behind...",
9,2020-01-14 19:56:38+00:00,KilleenPD,"UPDATE – January 14, 2020 Through the investigation, it was determined that the suspect, Jason Wayne Brooks, 42, was not armed during this incident. Brooks had an active parole warrant for...",
10,2020-01-14 00:17:54+00:00,KilleenPD,"On Sunday, January 12, 2020, at approximately 11:14 a.m., officers were dispatched to the Holiday Terrace Motor Hotel located at 1708 E. Veterans Memorial Blvd. in reference to a...",
11,2020-01-12 00:39:29+00:00,KilleenPD,"UPDATE – January 11, 2020 Investigators with the Traffic Unit have identified the suspect driver in this fatality. On Friday, January 10, 2020, the Bell County District Attorney’s Office...",
12,2020-01-11 03:43:58+00:00,KilleenPD,"We’d like to thank the folks from The Home Depot, SignatureCare Emergency Center - Killeen, Freedom Urgent Care and Christell's Flowers for taking time out of their day yesterday, January 9th, for stopping by and... https://www.facebook.com/139802605167/posts/10157859089020168/",
13,2020-01-10 22:01:01+00:00,KilleenPD,"On Friday, January 10, 2020, at approximately 9:50 a.m., officers were dispatched to the 4200 block of Corinne Drive in reference to a 911 call about a burglary of a habitation. While officers’...",
14,2020-01-09 23:07:23+00:00,KilleenPD,We'd like to thank the folks at Home Depot for recognizing Officer Emery with a Law Enforcement Appreciation Award. Officer Emery has assisted the Home Depot Asset Protection Unit in multiple apprehensions and gathering information for cases.,
15,2020-01-09 00:13:32+00:00,KilleenPD,"We need your help identifying these Robbery suspects? If you have information about their identity, call the Bell County Crime Stoppers at (254) 526-TIPS (8477). If your TIP leads to an arrest, you will be eligible for a cash reward. You will remain... https://www.facebook.com/story.php?story_fbid=10157851881295168&amp;id=139802605167",
16,2020-01-08 19:03:26+00:00,KilleenPD,"On Wednesday, January 8, 2020, at approximately 12:14 a.m., officers were dispatched to the 2200 block of Jennifer Drive in reference to a 911 call about shots fired. Upon the...",
17,2020-01-08 18:02:16+00:00,KilleenPD,"If you recognize this burglar, call the Bell County Crime Stoppers at 254-526-TIPS (8477). If your TIP leads to an arrest, you will be eligible for a cash reward. You will remain anonymous.",
18,2020-01-08 17:19:59+00:00,KilleenPD,"UPDATE – January 8, 2020 The Criminal Investigation Division, Homicide Unit, has identified the suspect involved in the Murder of 29 year-old Steven Christopher Guiles. A warrant for Murder was obtained...",
19,2020-01-08 05:04:47+00:00,KilleenPD,Call Crime Stoppers at 254-526-8477 if you can identify this person. You will remain anonymous. https://www.facebook.com/story.php?story_fbid=10157849030615168&amp;id=139802605167,
20,2020-01-03 23:29:44+00:00,KilleenPD,"UPDATE – January 3, 2020 On Wednesday, December 31, 2019, the victim, 19 years-old Lou Busby III, succumbed to his injuries at Baylor Scott & White Hospital. This case continues to be investigated and information will be released as...",
21,2020-01-02 21:11:33+00:00,KilleenPD,"UPDATE – January 2, 2020 On January 1, 2020, Investigators with the Killeen Police Department Traffic Unit were able to follow leads provided by citizens and crime stopper tips. The suspect...",
22,2019-12-30 22:51:28+00:00,KilleenPD,"On December 30, 2019, at approximately 7:34 a.m., Officers were dispatched to the 800 block of College Street in reference to a 911 call about a gunshot victim. Upon the officers’...",
23,2019-12-28 23:29:30+00:00,KilleenPD,"On Friday, December 27, 2019, at approximately 12:25 p.m., Officers were dispatched to the 2300 block of Botanical Drive in reference to a shots fired call. Upon the officers’ arrival,...",
24,2019-12-28 20:18:35+00:00,KilleenPD,"On Saturday, December 28, 2019, at approximately 1:03 a.m., officers were dispatched to the 4100 block of Stan Schlueter Loop in reference to a crash. Upon the officers’ arrival, they...",
25,2019-12-27 23:06:41+00:00,KilleenPD,All streets are reopened. We thank you for your patience. https://www.facebook.com/story.php?story_fbid=10157811539810168&amp;id=139802605167,
26,2019-12-27 20:46:25+00:00,KilleenPD,***UPDATE*** At this time all residents that were evacuated from their homes can return to their residence however the streets will remain closed until further notice. https://www.facebook.com/story.php?story_fbid=10157811219985168&amp;id=139802605167,
27,2019-12-27 19:17:32+00:00,KilleenPD, ALERT Officers are currently working a shooting on Andover Drive. Please avoid the following streets: Westover and Andover Westover and Botanical Liliac and Botanical Bonner and Andover We will... https://www.facebook.com/139802605167/posts/10157811023735168/,
28,2019-12-24 15:54:29+00:00,KilleenPD,"UPDATE – December 24, 2019 On Monday, December 23, 2019, the passenger of the Hyundai, 19 year-old Vivian Michelle Gonzalez, succumbed to her injuries and was pronounced deceased by Justice of...",
29,2019-12-23 22:22:54+00:00,KilleenPD,"UPDATE – December 22, 2019 Through the investigation, Investigators with the Traffic Unit have determined that the suspect vehicle is a pewter or lighter color 2000-2006 Chevy...",
30,2019-12-23 21:07:48+00:00,KilleenPD,"Congratulations to BPOC Class #30 on their graduation from the Police Academy. On Friday, December 20th, these cadets were surrounded by family and friends as the took the Oath of Office. Please congratulate and welcome our 15 new Peace Officers!",
31,2019-12-23 21:04:17+00:00,KilleenPD,"Congratulations to BPOC Class #30 on their graduation from the Police Academy. On Friday, December 20th, these cadets were surrounded by family and friends as the took the Oath of Office. Please congratulate and welcome our 15 new Peace Officers!",
32,2019-12-23 18:31:09+00:00,KilleenPD,"We’d like to thank everyone at Seigman, Starritt-Burnett and Sinkfield for the delicious tamales. We thank you for your support.",
33,2019-12-22 23:17:11+00:00,KilleenPD,"On Saturday, December 21, 2019, officers responded to the intersection of State Hwy 195 and Chaparral Road at approximately 11:10 p.m., after receiving a 911 call about a major...",
34,2019-12-22 04:03:43+00:00,KilleenPD,"Officers responded to the 1000 block of Jasper Road at approximately 7:19 p.m., on Saturday, December 21, 2019, after receiving a 911 call about a crash involving a pedestrian and...",
