,0,1,2,3
0,2020-02-08 21:02:13+00:00,LubbockPolice,Come out to @SouthPlainsMall and visit with two of our finest LPD recruiters!! They’re set up between Dillard’s and Bath &amp; Body Works near the main east side entrance! They’ll be here until 6 p.m.!,
1,2020-02-08 14:51:28+00:00,LubbockPolice,"Can’t make it inside for Coffee at the Arches? Don’t worry, our very own Officer Chacon is working the drive thru!! Swing by and say hi at the McDonald’s on Slide & 82nd!",
2,2020-02-08 14:17:52+00:00,LubbockPolice,"Make sure to come on out this morning! Grab some coffee, engage in some conversation and meet Raider Red!!",
3,2020-02-08 02:45:50+00:00,LubbockPolice,,
4,2020-02-08 02:44:47+00:00,LubbockPolice,"Tomorrow morning while you’re chatting it up with a first responder over some hot coffee at Coffee at the Arches, have your young ones get their picture and finger prints done with the LPD Child ID Kit!",
5,2020-02-07 22:30:03+00:00,LubbockPolice,"Have you ever wondered about applying to be a police officer with the City of Lubbock? Tomorrow, during Coffee at the Arches and at the South Plains Mall, a few of our recruiting officers will be available to answer any and all questions you might have! Come on out!!",
6,2020-02-07 15:06:25+00:00,LubbockPolice,Come on out tomorrow and get some coffee while talking to some of your first responders! Coffee at the Arches is taking place from 8 - 10 a.m. at the Slide & 82nd McDonald's location.,
7,2020-02-06 11:29:10+00:00,LubbockPolice,"Most days we're encouraging you to slow down on the overpasses, but today we have a curve ball for you! The roads under the overpasses that didn't receive much sun yesterday have slick and icy places! Continue to drive with caution and slow down as you're traveling this morning.",
8,2020-02-05 14:23:14+00:00,LubbockPolice,"Lubbock County has been downgraded to a Winter Weather Advisory until 6 p.m. Up to and additional 2"" of snow are still possible. Road conditions are still icy in some areas. Please continue to use caution while driving.",
9,2020-02-05 12:56:25+00:00,LubbockPolice,Check out what safety tips @ChiefCaspell has to say for your morning commute! https://bit.ly/2S0WLuq,
10,2020-02-05 00:58:04+00:00,LubbockPolice,"In the event of low visibility due to snow or slick road conditions, Patrol Officers will drive with their lights on to slow down traffic and prevent crashes.",
11,2020-02-04 22:14:09+00:00,LubbockPolice,Lots of information and resources are available! Make sure you're prepared before heading out on the roads this evening and tomorrow.,
12,2020-02-04 19:29:26+00:00,LubbockPolice,"Agreed! Plus, who wouldn't want to stay nice and cozy at home if you had the option?",
13,2020-02-04 18:12:50+00:00,LubbockPolice,Make sure to take care of your furry friends!! ,
14,2020-02-04 18:03:21+00:00,LubbockPolice,"As we prepare for winter weather, many departments will be out on the roads throughout Lubbock. Please make sure to MOVE OVER or SLOW DOWN if you see ANY flashing lights. We need your help to keep Lubbock safe!",
15,2020-02-04 16:05:58+00:00,LubbockPolice,Are you prepared for winter weather? Starting at noon TODAY Lubbock will be under a Winter Storm Warning. Make sure to plan ahead by checking out these tips from @NWSLubbock &amp; by signing up for emergency notifications at http://LBKAlert.com,
16,2020-02-03 16:08:23+00:00,LubbockPolice,"Enjoy today's warm temperatures, because snow is forecasted for Tuesday into Wednesday! We will be under a Winter Storm Watch starting at noon Tuesday. Start planning now to give yourself extra time for travel, and making sure you have any supplies needed during this time period!",
17,2020-02-03 01:40:14+00:00,LubbockPolice,Half time is over! Do you know what that means? Only two more quarters to make sure you have a safe & sober ride home! Celebrate responsibly by getting home safely!,
18,2020-02-01 00:30:00+00:00,LubbockPolice,"On Wednesday, 487 traffic stops were made between all three agencies on the first day of joint enforcement. The top violations observed included speeding and failing to move over or slow down, along with other traffic offenses.",
19,2020-01-31 23:14:17+00:00,LubbockPolice,"LS is getting geared up for his night out in the Depot District! Him and his best bud, Frisco, will be out there until 8! If you see them, stop by and say hi!",
20,2020-01-31 22:33:33+00:00,LubbockPolice,"After more than 31 years of service to the Lubbock community, Bureau of Operations Assistant Chief Jerry Brewer retired from the Lubbock Police Department. We sure are going to miss seeing him around but are so excited for what he has planned next! ",
21,2020-01-31 16:29:55+00:00,LubbockPolice,"TODAY at 3 p.m., Assistant Chief Jerry Brewer's retirement is taking place at the Lubbock Police Department! Come on out and help us celebrate his 31 plus years of service!",
22,2020-01-29 19:44:58+00:00,LubbockPolice,"Do you recognize any of these suspects? If so, please call Crime Line at 741-1000. You can remain anonymous and may even be eligible for a CASH reward! #WantedWednesday",#WantedWednesday
23,2020-01-29 18:06:52+00:00,LubbockPolice,"Have you noticed a lot of flashing lights on Marsha Sharp, I-27, and South Loop 289? Our area law enforcement agencies are enforcing safe driving across the city and we're here to remind you to move over or slow down!",
24,2020-01-27 21:25:30+00:00,LubbockPolice,Look at sweet Frisco helping Cowboy get big and strong! We appreciate everything our Mounted Patrol does for us! ,
25,2020-01-25 22:57:13+00:00,LubbockPolice,Heading out to watch the Red Raiders tonight!? Make sure to plan while you can. It’s nothing but net when you find a sober ride home! #TTUbasketball #RedRaiders,#TTUbasketball #RedRaiders
26,2020-01-25 15:25:18+00:00,LubbockPolice,"*TRAFFIC ALERT* Due to a crash on I-27 near 82nd Street, all southbound lanes of I-27 are closed and traffic is being diverted westbound on Loop 289.",
