,0,1,2,3
0,2020-02-03 18:13:15+00:00,McKinneyPolice,Nos vemos a las 7. See you at 7 ,
1,2020-01-31 22:47:41+00:00,McKinneyPolice,"Lateral pay up to $88,520.43 per year. Better opportunities. An overall great place to work! TCOLE Certified Police Officers, an Entrance Exam is coming up - just for you. https://www.governmentjobs.com/careers/cityofmckinney/jobs/2671491/police-officer-entrance-exam-tcole-licensed-only?keywords=police&amp;pagetype=jobOpportunitiesJobs",
2,2020-01-31 22:12:53+00:00,McKinneyPolice,"""Back day""",
3,2020-01-31 22:06:50+00:00,McKinneyPolice,"Thank you for tagging along with Ofc. Silas during today’s #MPDTweetAlong #MPDRideAlong. Still needing a little #FridayMotivation? Ok - check out how she begins each day, prior to starting her patrol shift at 5:30 in the morning #LetsGo",#MPDTweetAlong #MPDRideAlong #FridayMotivation #LetsGo
4,2020-01-31 21:28:47+00:00,McKinneyPolice,Just cleared the domestic. Ofc. Silas gives us the recap... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
5,2020-01-31 20:48:04+00:00,McKinneyPolice,Thank you,
6,2020-01-31 20:35:55+00:00,McKinneyPolice,Ofc. Silas tells us about the call she’s headed to right now... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
7,2020-01-31 20:20:20+00:00,McKinneyPolice,A little lunch for Ofc. Silas before heading back out on patrol. #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
8,2020-01-31 19:57:25+00:00,McKinneyPolice,Just cleared the minor crash on 380... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
9,2020-01-31 19:43:14+00:00,McKinneyPolice,#MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
10,2020-01-31 19:26:18+00:00,McKinneyPolice,Ofc. Silas is responding right now to a crash on 380... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
11,2020-01-31 19:07:53+00:00,McKinneyPolice,Ofc. Silas tells us what happened on the criminal trespass call just now... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
12,2020-01-31 18:54:14+00:00,McKinneyPolice,We can do that ,
13,2020-01-31 18:53:48+00:00,McKinneyPolice, Thank you,
14,2020-01-31 18:53:20+00:00,McKinneyPolice, Thank you,
15,2020-01-31 18:46:28+00:00,McKinneyPolice,Ofc. Silas is headed to a criminal trespass call... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
16,2020-01-31 18:30:17+00:00,McKinneyPolice,Update: a verbal warning was given. #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
17,2020-01-31 18:23:31+00:00,McKinneyPolice,Ofc. Silas is about to make a stop... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
18,2020-01-31 17:59:13+00:00,McKinneyPolice,Clearing from the earlier suspicious activity call... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
19,2020-01-31 17:49:23+00:00,McKinneyPolice,Headed to a suspicious activity call. Ofc. Silas tells us more... #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
20,2020-01-31 17:28:38+00:00,McKinneyPolice,Ofc. Silas tells us about her beat and her shift. #MPDTweetAlong #MPDRideAlong,#MPDTweetAlong #MPDRideAlong
