,0,1,2,3
0,2020-01-07 03:19:31+00:00,Sugar_Land_TX,"Has anyone seen a relatively round white poodle walking along Dairy Ashford/West Airport/ Sugar Land? (Vets, Animal Shelter, Pound workers?) There’s a $200 bounty for her",
1,2018-01-24 21:02:46+00:00,Sugar_Land_TX,City police appear to be focusing on speeders on roads like University Boulevard near Commonwealth. Motorist advised to observe the posted speed limits ! ;),
2,2017-11-23 15:18:28+00:00,Sugar_Land_TX,"Happy Thanksgiving, Sugar Land!",
3,2017-08-27 15:38:08+00:00,Sugar_Land_TX,This is how you know when it's serious! ,
4,2017-08-24 19:05:01+00:00,Sugar_Land_TX,. Follow @HoustonNewMedia for latest regional weather threat information,
5,2017-08-11 21:40:50+00:00,Sugar_Land_TX,This will have you licking your chops,
6,2017-08-10 19:21:31+00:00,Sugar_Land_TX,Game on!,
7,2017-08-04 15:35:54+00:00,Sugar_Land_TX,FUN FREE event for kids and parents benefiting the Rainbow Room at Sugar Land Town Square this Saturday 10:30-2:30 http://www.visitsugarlandtx.com/Events/Music-Culture/Sugar-Land-Town-Square/Back-to-School-Splash-Bash.aspx?inf_contact_key=1f6d08f4b82d626137df88641277f71e89b2a78f2651f59fa5519975b89a1e5a,
8,2017-08-04 13:23:09+00:00,Sugar_Land_TX,Sugar Land teen Gerard Hobbs cheats death in 20-foot fall down cliff in San Diego http://abc13.com/sugar-land-teen-cheats-death-in-20-foot-fall-down-cliff/2274574/,
9,2017-08-04 13:21:21+00:00,Sugar_Land_TX,"website: Keeper’s Japanese Restaurant , Sugar Land http://www.keepersushi.com/",
10,2017-07-24 16:15:30+00:00,Sugar_Land_TX,How do you stop being a cop?,
11,2017-07-08 19:47:49+00:00,Sugar_Land_TX,"Hey, bae-bae!",
12,2017-07-08 19:45:58+00:00,Sugar_Land_TX, ,
13,2017-07-02 14:45:29+00:00,Sugar_Land_TX,Santana tomorrow at SFC https://www.facebook.com/events/1220077718046016/?ti=as,
14,2017-06-11 14:03:32+00:00,Sugar_Land_TX,"48% off Paintball Package for One, Two, or Four Plus 100 Paintballs Per Person at Tank's Paintball Sugar Land http://gr.pn/2rjXwOH",
15,2017-05-24 16:19:32+00:00,Sugar_Land_TX,Reviews of Perry's Steakhouse in Sugar Land https://www.tripadvisor.com/Restaurant_Review-g56723-d1310513-Reviews-Perry_s_Steakhouse_Grille_Sugar_Land-Sugar_Land_Texas.html,
16,2017-05-15 16:05:21+00:00,Sugar_Land_TX,"Well now, that is an accomplishment :)",
17,2017-04-27 04:31:13+00:00,Sugar_Land_TX,What the...,
18,2017-04-23 14:28:32+00:00,Sugar_Land_TX,Why do you feel that way?,
19,2017-04-21 15:33:04+00:00,Sugar_Land_TX,"TxDOT awards contract for SH-99 segments in Liberty, Montgomery and Chambers counties",
20,2017-04-21 07:04:07+00:00,Sugar_Land_TX,Bluefish fall in opener http://www.ctpost.com/sports/article/Bluefish-fall-in-opener-11088483.php,
21,2017-04-20 15:39:25+00:00,Sugar_Land_TX,"What mentality is that, exactly?",
22,2017-04-19 13:38:06+00:00,Sugar_Land_TX,What makes you feel that way?,
23,2017-04-19 13:34:53+00:00,Sugar_Land_TX,Why drive all the way into downtown Houston if you can find good entertainment here and be back home in 10 minutes? :),
24,2017-04-19 13:33:53+00:00,Sugar_Land_TX,Which show is that?,
25,2017-04-18 14:50:34+00:00,Sugar_Land_TX,Two words ;),
26,2017-04-17 16:51:27+00:00,Sugar_Land_TX,Hmmm no....,
27,2017-04-16 21:43:16+00:00,Sugar_Land_TX,Your nerd is showing,
28,2017-04-15 14:14:35+00:00,Sugar_Land_TX,Why do you feel that way?,
29,2017-04-15 14:13:07+00:00,Sugar_Land_TX,Which are your favorite Sugar Land eateries?,
30,2017-04-15 14:12:22+00:00,Sugar_Land_TX,How are you spending this holiday weekend?,
31,2017-04-15 05:57:37+00:00,Sugar_Land_TX,They grow up so fast...,
32,2017-04-15 05:55:39+00:00,Sugar_Land_TX,"Awesome, you'll have fun!",
33,2017-04-13 21:02:00+00:00,Sugar_Land_TX, ,
34,2017-04-13 20:58:34+00:00,Sugar_Land_TX,No bueno,
35,2017-04-13 20:56:02+00:00,Sugar_Land_TX,"We have a new Walmart coming up in Sugar Land, at Eldridge and West Airport just for you! ;)",
36,2017-04-10 15:54:30+00:00,Sugar_Land_TX,local movie times for Furious 8 https://movietimes.com/movies/tx/sugar-land/furious-8-2017/movietimes,
37,2017-04-10 15:53:44+00:00,Sugar_Land_TX,Biodiversity of Cullinan Park (near Sugar Land Airport) https://www.inaturalist.org/projects/biodiversity-of-cullinan-park-sugar-land-tx,
38,2017-04-08 22:48:11+00:00,Sugar_Land_TX,Telfair is a wonderful community!,
39,2017-04-07 22:05:37+00:00,Sugar_Land_TX,Child Advocates Light of Hope event tonight in Town Square https://www.sugarland.com/events/event_details.php?event_id=5011&amp;event_date_id=17889,
40,2017-04-07 15:30:59+00:00,Sugar_Land_TX,Big Garage Sale 16410 Hidden Gate Ct 77498http://gsalr.com/big-garage-sale-sugar-land-tx-30880715.html,
41,2017-04-07 15:29:53+00:00,Sugar_Land_TX,Newk's Eatery at Market at Town Center in Sugar Land will open in early May. http://rebusinessonline.com/baker-katz-arranges-4243-sf-lease-for-newks-eatery-in-metro-houston/,
42,2017-04-07 15:25:05+00:00,Sugar_Land_TX,"Best Singaporean Restaurants in Sugar Land, TX - Yelp https://www.yelp.com/search?cflt=singaporean&amp;find_loc=Sugar+Land%2C+TX",
43,2017-04-04 14:42:50+00:00,Sugar_Land_TX,Secretary of Commerce Presents National Award to Memorial Hermann Sugar Land Hospital http://www.crossroadstoday.com/story/35059481/secretary-of-commerce-presents-national-award-to-memorial-hermann-sugar-land-hospital,
44,2017-04-03 05:12:57+00:00,Sugar_Land_TX,"Schlumberger Technology assigned patent 9,599,729 for “gamma-ray detectors for downhole applications"" http://www.concordmonitor.com/patents-8997110",
45,2017-04-03 04:43:54+00:00,Sugar_Land_TX,"Vegetarian 2.0 at Sur La Table - Sugar Land Town Square, Monday evening http://houston.eventful.com/events/vegetarian-20-/E0-001-101709893-1",
46,2017-01-02 23:42:18+00:00,Sugar_Land_TX,"Don't miss out! JOIN the Sugar Land, Greatwood and Beyond Facebook group! https://www.facebook.com/groups/1420936251453868/",
47,2016-12-30 14:26:39+00:00,Sugar_Land_TX,Songkran Thai Grill - Sugar Land https://m.opentable.co.uk/restaurants/songkran-thai-grill-sugar-land/170461,
48,2016-12-26 13:56:16+00:00,Sugar_Land_TX,Movie Times at AMC First Colony 24 https://movietimes.com/movie-theaters/tx/sugar-land/amc-first-colony-24/showtimes/2017-01-04,
49,2016-08-07 21:11:11+00:00,Sugar_Land_TX,"Budget Workshop-Capital Projects The City of Sugar Land, Texas – City Government Sugar Land http://www.usampm.com/event/Budget-WorkshopCapital-Projects/1320537/#sthash.PGHz9mlE.uxfs via",
50,2016-07-18 12:45:14+00:00,Sugar_Land_TX,you can take the commuter bus :),
51,2016-06-17 23:31:38+00:00,Sugar_Land_TX,Additional development proposed for Crossing at Telfair https://communityimpact.com/houston/sugar-land-missouri-city/development-construction/2016/06/17/additional-development-proposed-crossing-telfair/,
52,2016-05-02 04:22:37+00:00,Sugar_Land_TX,"Family, friends gather at vigil for Stafford baseball coach (KHOU) http://www.khou.com/news/local/vigil-held-for-stafford-baseball-coach/163873953",
53,2016-05-02 03:31:16+00:00,Sugar_Land_TX,May 1 Skeeters Recap http://www.sugarlandskeeters.com/news/2016/5/1/general-may-1-recap.aspx,
54,2016-05-02 03:26:05+00:00,Sugar_Land_TX,"Climate Hustle Movie Info, Showtimes - Sugar Land https://www.sugarland.com/movie/climate-hustle.php?movie_id=228641",
55,2016-02-13 03:54:52+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
56,2016-02-12 14:55:13+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
57,2016-02-12 13:56:19+00:00,Sugar_Land_TX,Interested in Houston's future? Then join the Houston Youth Programs Meetup Group! http://www.meetup.com/Houston-Youth-Programs,
58,2016-02-12 05:55:21+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
59,2016-02-12 02:55:04+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
60,2016-02-11 13:55:10+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
61,2016-02-11 01:54:54+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
62,2016-02-10 12:54:55+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
63,2016-02-09 23:54:55+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
64,2016-02-09 11:54:50+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
65,2016-02-08 22:54:52+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
66,2016-02-08 13:56:01+00:00,Sugar_Land_TX,Interested in Houston's future? Then join the Houston Youth Programs Meetup Group! http://www.meetup.com/Houston-Youth-Programs,
67,2016-02-08 10:54:48+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
68,2016-02-07 21:55:09+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
69,2016-02-07 08:54:58+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
70,2016-02-06 20:54:57+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
71,2016-02-06 08:54:50+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
72,2016-02-05 19:54:49+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
73,2016-02-05 06:54:59+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
74,2016-02-04 20:54:53+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
75,2016-02-04 17:54:53+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
76,2016-02-04 13:55:43+00:00,Sugar_Land_TX,Interested in Houston's future? Then join the Houston Youth Programs Meetup Group! http://www.meetup.com/Houston-Youth-Programs,
77,2016-02-04 04:54:51+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
78,2016-02-03 15:54:58+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
79,2016-02-03 03:54:53+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
80,2016-02-02 14:54:57+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
81,2016-02-02 02:54:54+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
82,2016-02-01 14:54:50+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
83,2016-02-01 01:54:51+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
84,2016-01-31 13:55:35+00:00,Sugar_Land_TX,Interested in Houston's future? Then join the Houston Youth Programs Meetup Group! http://www.meetup.com/Houston-Youth-Programs,
85,2016-01-31 12:55:05+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
86,2016-01-31 00:54:56+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
87,2016-01-30 11:55:02+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
88,2016-01-29 22:55:44+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
89,2016-01-29 09:55:04+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
90,2016-01-28 22:55:27+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
91,2016-01-28 20:55:09+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
92,2016-01-28 08:54:53+00:00,Sugar_Land_TX,Primerica Changes Lives. It can change yours. Schedule your free financial analysis today! https://www.facebook.com/LJSavingmiddleclassamerica/,
