,0,1,2,3
0,2020-02-06 20:47:03+00:00,beaumont_police,,
1,2020-02-06 16:19:03+00:00,beaumont_police,,
2,2020-02-05 18:13:02+00:00,beaumont_police,,
3,2020-01-30 21:59:50+00:00,beaumont_police,,
4,2020-01-08 21:26:10+00:00,beaumont_police,Meet Our Newest Canine Cadet Bessie! Bessie is a pit/mix and has been at the Beaumont Animal Care Shelter since October. Help her find her forever home! For Inquires: Call 409-838-3304 #Adopt #beaumontanimalcare #BeaumontPD,#Adopt #beaumontanimalcare #BeaumontPD
5,2020-01-03 10:56:10+00:00,beaumont_police,,
6,2019-12-31 17:12:04+00:00,beaumont_police,Are You Prepared? #free #business #schools #church #police #community #safety,#free #business #schools #church #police #community #safety
7,2019-12-30 16:07:42+00:00,beaumont_police,Join us for our 53rd Citizens Police Academy! #police #community,#police #community
8,2019-12-24 18:10:22+00:00,beaumont_police,,
9,2019-12-23 19:23:30+00:00,beaumont_police,,
10,2019-12-18 20:45:54+00:00,beaumont_police,"Start your new year with us on Thursday, January 9, 2020 as we host our Police Community Forum. #beaumontpolicedepartment #community #workingtogether",#beaumontpolicedepartment #community #workingtogether
11,2019-12-17 18:51:20+00:00,beaumont_police,"Please join the BPD today, Tuesday, December 17 at 5:00 p.m. on the front steps of the station (255 College Street) as we send-off Blue Santa for his Toy Delivery. This year, BPD’s Blue Santa Program will be providing Christmas toys for 200 children. See our FB for more info.",
12,2019-12-13 17:01:56+00:00,beaumont_police,,
13,2019-12-12 17:54:04+00:00,beaumont_police,,
14,2019-12-06 15:48:44+00:00,beaumont_police,,
15,2019-11-25 17:43:20+00:00,beaumont_police,,
16,2019-11-18 20:00:01+00:00,beaumont_police,,
17,2019-11-03 16:40:24+00:00,beaumont_police,,
18,2019-11-01 18:41:22+00:00,beaumont_police,,
19,2019-10-30 18:45:41+00:00,beaumont_police,,
20,2019-10-30 18:38:58+00:00,beaumont_police,"Meet our newest BPD Canine Cadet ""Otter"" Available for Adoption! Please call Beaumont Animal Care at 409-838-3304 for details! #beaumontpolice #Beaumont #beaumontanimalcare #puppy #adoptme #Police",#beaumontpolice #Beaumont #beaumontanimalcare #puppy #adoptme #Police
21,2019-10-30 15:16:41+00:00,beaumont_police,Update ** All lanes of 347 are now open!,
22,2019-10-30 12:52:41+00:00,beaumont_police,*Traffic Alert* BPD is working a fatality crash in the 6400 block of HWY 347. Both directions of travel are closed while the scene is under investigation. Please seek an alternate route.,
23,2019-10-28 20:07:15+00:00,beaumont_police,"**Suspect Alert** Can you identify these suspects?? The 2 ladies committed theft at a local retail store. If you know who they are, send us a message, call BPD at 409-832-1234 or SETX Crime Stoppers at 409-833-TIPS (8477). You can also download the P3 Tips app to submit your tip.",
24,2019-10-19 15:26:59+00:00,beaumont_police,,
25,2019-10-17 15:16:29+00:00,beaumont_police,Our Cadet Scout is still looking for his forever home! Please contact Beaumont Animal Care for details! 409-838-3304 #BPDCANINECADET #Beaumontpolice #beaumont #puppy #ADOPT #Beaumontanimalcare,#BPDCANINECADET #Beaumontpolice #beaumont #puppy #ADOPT #Beaumontanimalcare
26,2019-10-16 12:18:13+00:00,beaumont_police,,
27,2019-10-09 20:01:14+00:00,beaumont_police,"We are so excited that shortly after introducing our ""Canine Cadet"" Program with our first sweet baby, NIA.. She has been adopted!!!! #BPDCanineCadets #BeaumontAnimalCare #ADPOTED Be on the lookout for our next Canine Cadet that is needing a forever home!! #rescue #adopt",#BPDCanineCadets #BeaumontAnimalCare #ADPOTED #rescue #adopt
28,2019-10-09 19:02:17+00:00,beaumont_police,"Introducing ""Nia"" our first BPD Canine Cadet!!! If you are interested in adopting Nia please reach our friends at Beaumont Animal Care at (409) 838-3304. #beaumontanimalcare #BPDcaninecadets #beaumontpolice",#beaumontanimalcare #BPDcaninecadets #beaumontpolice
29,2019-10-09 16:28:29+00:00,beaumont_police,"Tune into Beaumont Police Facebook page today at 12:10 as we feature our #BPDCANINECADETS on our segment ""Taking a Break with Beaumont PD"" featuring special guest, #Beaumontanimalcare! #ADOPT #dogs #police #beaumont",#BPDCANINECADETS #Beaumontanimalcare #ADOPT #dogs #police #beaumont
30,2019-10-08 15:48:14+00:00,beaumont_police,,
31,2019-10-08 09:45:16+00:00,beaumont_police,,
32,2019-10-03 17:00:59+00:00,beaumont_police,"Did you know...through BPD's Cops & Kids Reading Program, our Officers read to elementary students at more than 15 schools, reaching over 500 children, each month?!?! Our goals are to help promote literacy and a love for reading, while also cultivating positive relationships",
33,2019-10-03 14:47:56+00:00,beaumont_police,"Join us at Starbucks today, (Thursday, Oct. 3) from 4:00-6:00 p.m. for Coffee with a Cop! Our #GiftofLife #PinkPatrol Car will be there! Come check it out!!",#GiftofLife #PinkPatrol
34,2019-10-02 19:51:53+00:00,beaumont_police,"BPD would like to congratulate Det. Mike Nixon and Sgt. Tim Bean on their retirement. Det. Nixon served The City of Beaumont for 25 yrs (the last 15, as an Officer w/ BPD). Sgt. Bean served at the BPD for 22 yrs. Thank you for your service and best of luck in your retirement!",
