,0,1,2,3
0,2020-02-04 17:17:41+00:00,CarrolltonTXPD,"A 63-year-old man was firing guns inside his home on Via Avenida. He is safely in custody. No one else was in the house with him at the time, and no one was hurt. We have dedicated several resources to this case as we work to determine the proper, highest charges.",
1,2020-02-04 17:15:53+00:00,CarrolltonTXPD,"A 63-year-old man is safely in custody today after firing at least two weapons inside his home on Via Avenida. No one else was in the house with him at the time, and no one was hurt. We have dedicated several resources to this case as we work to determine the proper charges.",
2,2020-02-03 05:05:02+00:00,CarrolltonTXPD,Traffic Alert: NB IH35E all lanes temporarily closed at Frankford. Major accident involving fuel spill. Clean-up estimate 1 hr. #DFWTraffic,#DFWTraffic
3,2020-01-24 21:58:09+00:00,CarrolltonTXPD,"Active shooter response training in English, Spanish, and Korean. Saturday, February 8.",
4,2020-01-24 19:25:38+00:00,CarrolltonTXPD,"THEFT SUSPECT Not the clearest images, we know... but do you recognize this woman? She used a credit card stolen from the women's locker room at Fitness Connection, 2810 E. Trinity Mills Rd. Tips? (972) 466-3352 or pio@cityofcarrollton.com.",
5,2020-01-21 15:18:24+00:00,CarrolltonTXPD,Unfortunately that intersection is not in our jurisdiction (believe it or not). Will certainly pass along your concern to our officers who can work traffic nearby on Hebron Pkwy approaching Charles St.,
6,2020-01-17 18:28:20+00:00,CarrolltonTXPD,Sticking with a resolution to hit the gym? Great! Not securing your valuables while you're there? Not great! Thieves love fitness centers. They know we don't want to hold our stuff while we work out. Secure your valuables before you break a sweat!,
7,2020-01-11 01:16:46+00:00,CarrolltonTXPD,No reports of storm damage in Carrollton as of 7:16 pm.,
8,2020-01-10 20:34:27+00:00,CarrolltonTXPD,"Express lanes closed, two SB lanes closed due to oil spill. Clean-up estimate = ""hours"".",
9,2020-01-10 20:22:05+00:00,CarrolltonTXPD,"TRAFFIC ALERT: IH-35E NB at Luna. Jackknifed 18-wheeler in express lanes. NB lanes heavy traffic, but resulting oil spill has all lanes slick. Avoid if at all possible. #DFWTraffic photo courtesy @TxDOT",#DFWTraffic
10,2020-01-09 21:28:57+00:00,CarrolltonTXPD,Thank you for having us!,
11,2020-01-09 16:36:17+00:00,CarrolltonTXPD,"@EatLiquidGold, we'll let this one slide. Because queso. @ro_tel",
12,2020-01-07 19:30:57+00:00,CarrolltonTXPD,1811 E. Frankford? Arrest for Unlawful Carrying of a Weapon.,
13,2020-01-06 20:01:24+00:00,CarrolltonTXPD,YOU LEARN SOMETHING NEW EVERY DAY! Today we learned two things: 1) Covering cars in cheese slices is apparently the new trend in criminal mischief. 2) Cheese slices produce GREAT fingerprints.,
14,2020-01-02 15:25:43+00:00,CarrolltonTXPD,"We were looking for a burglar who ran from us. We got him. Incidentally, he tried to run again while handcuffed. It didn't work.",
15,2019-12-24 00:00:07+00:00,CarrolltonTXPD,Our continued prayers are with the boy's family.,
16,2019-12-23 20:51:58+00:00,CarrolltonTXPD,"Our prayers are with the family of a 12-year-old boy who was hit by a van and killed while walking along S. Josey Lane this afternoon. An investigation is underway, and the driver is cooperating.",
17,2019-12-23 19:55:59+00:00,CarrolltonTXPD,ADVISORY: The northbound lanes of Josey are closed at Crosby for a major crash investigation. Officers are diverting traffic. Please avoid the area.,
18,2019-12-10 19:36:21+00:00,CarrolltonTXPD,Thank you Ms. Mary!,
19,2019-12-08 14:00:31+00:00,CarrolltonTXPD,"Prayers for @houstonpolice, @ArtAcevedo",
20,2019-12-03 22:12:37+00:00,CarrolltonTXPD,"Safety Alert: We are investigating a report of two unknown adults in a black SUV possibly trying to lure a Polser Elementary School student to their vehicle, a black SUV, around 3:30 Monday afternoon. The child reported the incident and is safe. Walk in groups and stay alert!",
21,2019-11-27 19:35:33+00:00,CarrolltonTXPD,"THANKFUL for our partners at @Dallas_Sheriff, @DallasPD, and @TxDPS for helping get three theft suspects in custody today after pursuit ended in Dallas. Suspects caught shoplifting and fled. A two-year-old was found in vehicle. No one was hurt. Charges pending. Lots of them.",
22,2019-11-21 22:40:46+00:00,CarrolltonTXPD,We thank the State Securities Board for their partnership.,
23,2019-11-20 21:04:14+00:00,CarrolltonTXPD,"Chief Derick Miller, sworn in as Treasurer of the North Texas Police Chiefs Association today. @NTPCA @CPDTXChief",
24,2019-11-17 17:27:31+00:00,CarrolltonTXPD,Today is Rookie Officer Spencer’s last training day with B-Shift. We think he’s going to fit in here JUST fine!,
25,2019-11-15 15:14:06+00:00,CarrolltonTXPD,Thank you @OneCommunityUSA for your partnership. We are blessed to have MANY officers like Rodriquez and Vazquez who have true servant's hearts.,
26,2019-11-12 01:43:04+00:00,CarrolltonTXPD,COLD WEATHER SAFETY TIPS FROM CPD: -DON'T: Leave an unattended car running to warm it up. -DON'T: Leave automatic sprinklers running tonight. -DO: Leave extra time for window-defrosting in the morning. Stay warm and safe!,
27,2019-11-09 15:32:35+00:00,CarrolltonTXPD,"Coffee with a Cop is underway until 11 a.m. We are at McDonald’s, 1050 W. Frankford Rd. (at Old Denton). We hope to see you!",
28,2019-11-06 21:37:46+00:00,CarrolltonTXPD,"Parents and teachers, please discuss with your students! #SeeSomethingSaySomething",#SeeSomethingSaySomething
29,2019-10-31 15:41:11+00:00,CarrolltonTXPD,Fun fact about police departments: leave a $20 bill on the break room table and it would still be there a year later. Candy? That’s another story. Happy Halloween! ,
30,2019-10-29 21:54:32+00:00,CarrolltonTXPD,We continue to pray for Officer Rodriguez and our entire extended law enforcement family at @DENTONPD. We also continue to assist in the investigation and offer any help and resources needed. All further media inquires are directed to the Texas Department of Public Safety.,
31,2019-10-28 21:21:06+00:00,CarrolltonTXPD,@CarrolltonTXPD is featured this week on IACP-TV at the International Association of Chiefs of Police Conference in Chicago. Watch the full video here: https://youtu.be/adyvpQ5GTs4 #IACP2019 #IACP @CPDTXChief,#IACP2019 #IACP
32,2019-10-24 15:39:38+00:00,CarrolltonTXPD,Drug Take-Back is Saturday!,
33,2019-10-22 12:20:37+00:00,CarrolltonTXPD,"A Drug Enforcement Agency helicopter is scheduled to land at Indian Creek Elementary, 2050 Arbor Creek Drive, at approximately 8:15 a.m. Tuesday morning 10/22/2019 as part of a school program. There is no emergency.",
34,2019-10-21 02:10:33+00:00,CarrolltonTXPD,Working numerous accidents on both SRT 190 and IH-35E. Please drive carefully if you have to drive at all before storm passes.,
35,2019-10-19 18:48:30+00:00,CarrolltonTXPD,The Irving-Carrollton NAACP honored Carrollton Police Officer Vince Fulcher with their Excellence in Law Enforcement Award today for his 28 years of dedicated service to the people of @CarrolltonTX. Chief Miller and all the officers of CPD thank the #NAACP for their support!,#NAACP
36,2019-10-15 21:55:43+00:00,CarrolltonTXPD,"Our next #CoffeeWithACop is Saturday, November 9 from 9-11 a.m. at McDonald's, 1050 W. Frankford Rd. in Carrollton. Join us!",#CoffeeWithACop
37,2019-10-12 00:52:08+00:00,CarrolltonTXPD,Heads up this weekend!,
38,2019-10-11 21:59:12+00:00,CarrolltonTXPD,"Police Entrance Exam Tomorrow! Walk-up registrations welcome. Applicants need valid ID and DD-214 if applicable. Arbor Creek Middle School 2109 Arbor Creek Drive Carrollton, TX Saturday, October 12, 2019 Doors open at 8:15 a.m. Doors close and test begins at 9:00 a.m.",
39,2019-10-11 02:53:40+00:00,CarrolltonTXPD,"Accident now clear, highway reopening. Drive carefully!",
40,2019-10-11 02:13:48+00:00,CarrolltonTXPD,"Multi vehicle accident, IH35E Southbound at Crosby. All SB lanes closed. #dfwwx #DFWTraffic",#dfwwx #DFWTraffic
41,2019-10-08 16:18:36+00:00,CarrolltonTXPD,"TONIGHT! Free and open to the public. Active Shooter Response Training, Carrollton Senior Center, 1720 Keller Springs Rd. from 6:30-8 p.m. Join us.",
42,2019-10-07 20:31:01+00:00,CarrolltonTXPD,Updated Release:,
43,2019-10-06 02:20:47+00:00,CarrolltonTXPD,News Release,
44,2019-10-06 00:49:43+00:00,CarrolltonTXPD,We are on scene of an officer-involved shooting at 1716 W. Frankford Rd. One adult male is deceased. No officers hurt. Media can stage at 1712 W. Frankford. A full news release will be issued later this evening.,
45,2019-10-05 02:28:59+00:00,CarrolltonTXPD,UPDATE: Highway now clear,
46,2019-10-05 01:38:43+00:00,CarrolltonTXPD,Northbound IH35E connector lanes to SRT shut down due to disabled tractor trailer. #dfwtraffic,#dfwtraffic
47,2019-10-03 20:25:44+00:00,CarrolltonTXPD,We thank our federal law enforcement partners for helping us hold this child predator accountable. https://www.ice.gov/news/releases/north-texas-man-sentenced-30-years-federal-prison-child-sexual-exploitation-violations,
48,2019-09-28 18:25:19+00:00,CarrolltonTXPD,News Release:,
49,2019-09-28 05:56:26+00:00,CarrolltonTXPD,CRASH: Fatality crash Sandy Lake Rd. under PGBT. At-fault suspect ran on foot. Search underway. Please avoid area.,
50,2019-09-25 18:17:29+00:00,CarrolltonTXPD,ROAD CLOSURE: Plano Parkway from Warmington Dr. to Charles St. will close from 6 p.m. until approximately 7:30 p.m. today for the @Hebron_HS Homecoming Parade. Please plan alternate route if this affects your travel plans.,
51,2019-09-24 21:22:58+00:00,CarrolltonTXPD,"TRAFFIC ADVISORY: A power outage is affecting traffic signals at numerous Carrollton intersections this afternoon. Drivers, please use extra caution.",
52,2019-09-19 13:11:51+00:00,CarrolltonTXPD,All clear at Newman Smith High School now. Building is safe and students are returning. @CFBISD,
53,2019-09-19 13:06:06+00:00,CarrolltonTXPD,Carrollton Fire Rescue is investigating an odor of gas at #NewmanSmith High School this morning. School evacuated as a precaution. @CFBISD,#NewmanSmith
54,2019-09-18 15:39:26+00:00,CarrolltonTXPD,Is your neighborhood or HOA hosting a National Night Out event on October 1? We would love to stop by! Let us know about your event here: https://www.cityofcarrollton.com/departments/departments-g-p/police/programs-and-services/national-night-out,
55,2019-09-17 20:44:42+00:00,CarrolltonTXPD,"UPDATE: 3:41 p.m.: We have located Ms. Wold. She is safe and unharmed. Thank you for your shares, prayers, and concern.",
56,2019-09-17 17:13:51+00:00,CarrolltonTXPD,"MISSING 85-year-old Frances Wold, believed to have walked away from her home on Chesham Drive this morning. Josey/Rosemeade area. Ms. Wold has dementia, is 5'7"", no known clothing description, but may be pulling a black roller bag. Call 911 if you see her.",
57,2019-09-13 03:52:15+00:00,CarrolltonTXPD,"Glad to be proven wrong! We’ve never held our “Unidos” outreach to Spanish-speakers right here in our own building. Frankly, we didn’t think our guests would be comfortable coming here. Four years into the program, they didn’t hesitate to accept tonight’s invitation. #Unidos",#Unidos
