,0,1,2,3
0,2020-02-09 21:39:20+00:00,fortworthpd,Are you ready to apply?,
1,2020-02-07 15:19:07+00:00,fortworthpd,(Deadly) #HitandRun We are asking for your assistance in helping us locate a 2015-19 #Nissan Murano involved in a deadly hit-and-run on Feb. 4 on Lackland Road. Please call 817-392-4889 with any information. #PleaseShare,#HitandRun #Nissan #PleaseShare
2,2020-02-07 01:59:53+00:00,fortworthpd,#Remembrance - Two more names went up on our Wall of Remembrance. Detective Marty Jones #3015 &amp; Officer James Nesbitt #4436. “Those we love don’t go away”,#Remembrance
3,2020-02-06 19:42:33+00:00,fortworthpd,"It's a recruiting car - an 'advertisement' - ""Now Hiring""",
4,2020-02-06 15:44:16+00:00,fortworthpd,"#PleaseShare An arrest warrant is issued for Marquette Deshun Harmon, 35, for his role in a #ChristmasEve robbery. The warrant is for Aggravated Robbery Deadly Weapon. Harmon is on a parole violation and should be considered ARMED and DANGEROUS. Please call 911 immediately.",#PleaseShare #ChristmasEve
5,2020-02-06 15:14:02+00:00,fortworthpd,#WANTED 817-469-TIPS (8477). #CrimeStoppers,#WANTED #CrimeStoppers
6,2020-02-05 19:42:21+00:00,fortworthpd,#MissingChild 15-year-old Nikaila Waldrup. Please call 817-392-4222 if you know where she is. Nikaila hasn't been seen since Feb. 4. #PleaseShare,#MissingChild #PleaseShare
7,2020-02-05 14:25:22+00:00,fortworthpd,Word of the Day: #ThunderSleet,#ThunderSleet
8,2020-02-05 13:58:22+00:00,fortworthpd,"Northbound 35 ,before Spur 280. Major accident #UPDATE. Two lanes are now open #trafficalert",#UPDATE #trafficalert
9,2020-02-05 13:37:24+00:00,fortworthpd,Northbound US 287 before Spur 280. Major accident reported. Freeway shutdown. Avoid area and take alternate route. Wrecker has been ordered.,
10,2020-02-05 12:18:17+00:00,fortworthpd,IH30-East Loop 820. Leave extra space between you and the vehicle in front of you. Allow extra time for travel.,
11,2020-02-05 12:01:57+00:00,fortworthpd,IH20 and James Ave. Road conditions look normal. Drive Slowly #texasweather,#texasweather
12,2020-02-04 20:19:30+00:00,fortworthpd,Applications open/begin on Feb. 10. #Reminder,#Reminder
13,2020-02-04 19:15:44+00:00,fortworthpd,Send us a private message,
14,2020-02-04 19:11:35+00:00,fortworthpd,#WinterWeatherAdvisory from midnight - 6p.m. Wednesday,#WinterWeatherAdvisory
15,2020-02-04 15:24:24+00:00,fortworthpd,Bring your four-legged family members inside. The winter front is mean. #Reminder,#Reminder
16,2020-02-04 15:13:33+00:00,fortworthpd,This program is for anybody who has a Class C warrant/ticket...and hasn’t been paid,
17,2020-02-03 21:31:25+00:00,fortworthpd,"""If I show up at Municipal Court, will I be arrested?"" The answer is No.",
18,2020-02-03 21:06:03+00:00,fortworthpd,#DidYouKnow ? #February is Warrant Forgiveness Month in #FortWorth. Class C warrants/tickets. Anyone can visit a #FortWorth Municipal Court without fear of arrest for outstanding warrants (issued by Municipal Court).,#DidYouKnow #February #FortWorth #FortWorth
19,2020-02-03 17:32:57+00:00,fortworthpd,#PleaseShare Footage of a robbery suspect at a #7Eleven on McPherson Blvd. Robbery occurred on Jan 23. Suspect left with $in a plastic bag. Suspect is a black male. Please call 817-392-4378 if you have any information regarding this suspect or robbery.,#PleaseShare #7Eleven
20,2020-02-03 15:42:54+00:00,fortworthpd,We appreciate everyone who re-tweeted. Thank You.,
21,2020-02-03 15:41:52+00:00,fortworthpd,#UPDATE Please cancel. Raelyn has been located safe.,#UPDATE
22,2020-02-03 13:40:07+00:00,fortworthpd,#GoodMorning Fort Worth! #beautiful,#GoodMorning #beautiful
23,2020-02-03 04:48:25+00:00,fortworthpd,#MissingPerson We are asking for your help in locating Raelyn Jordan Salazar - please share the flyer below or call 817-392-4222 with any information. Report #20009345 #AssistanceNeeded,#MissingPerson #AssistanceNeeded
24,2020-02-01 21:05:01+00:00,fortworthpd,Chasing Miss Daisy...#OnlyInFortWorth,#OnlyInFortWorth
25,2020-01-31 19:44:39+00:00,fortworthpd,#SuperBowl - Don't Drink and Drive...Have fun &amp; be safe this weekend! @49ers @Chiefs @MADDOnline,#SuperBowl
26,2020-01-31 15:22:36+00:00,fortworthpd,#WANTED 817-469-TIPS (8477). #CrimeStoppers,#WANTED #CrimeStoppers
27,2020-01-30 21:27:11+00:00,fortworthpd,Hispanic male,
28,2020-01-30 21:27:10+00:00,fortworthpd,Black male,
29,2020-01-30 21:27:10+00:00,fortworthpd,The black male was seen prior to one of the robberies. The Hispanic male was seen in one of the stores following the robberies.,
30,2020-01-30 21:17:50+00:00,fortworthpd,#UPDATE Two people of interest need to be identified in relation to these robberies- a black male suspect &amp; a Hispanic male suspect. Photos of the two suspects will be Tweeted. Detectives have reason to believe these two men may have info regarding the robberies.,#UPDATE
31,2020-01-30 18:02:24+00:00,fortworthpd,"#NowHiring Firearm &amp; Toolmark Examiner: To apply, please visit https://chm.tbe.taleo.net/chm04/ats/careers/v2/viewRequisition?org=FORTWORTH&amp;cws=37&amp;rid=59391",#NowHiring
32,2020-01-30 15:14:35+00:00,fortworthpd,"The Officer - ""Will you accept this badge?"" https://youtu.be/Y9wDr0LS6v0 via @YouTube #recruiting #parody #TheBachelor",#recruiting #parody #TheBachelor #TheBachelor
33,2020-01-29 21:31:10+00:00,fortworthpd,#Hmm .......,#Hmm
34,2020-01-29 21:18:03+00:00,fortworthpd,Still on the loose. This is the car they were seen in....,
35,2020-01-29 17:27:47+00:00,fortworthpd,Two suspects involved.,
36,2020-01-29 17:25:34+00:00,fortworthpd,#ICYMI,#ICYMI
