location
"I-10 East at Airway, Texas"
"I-10 East at Mesa, Texas"
"I-10 East at Asarco, Texas"
"I-10 West at Lomaland, Texas"
"I-10 East at Sunland, Texas"
"I-10 East at Sunland, Texas"
"I-10 West at US, Texas"
"I-10 West at Hawkins, Texas"
"I-10 West at Sunland, Texas"
"I-10 East at Mesa, Texas"
"South at Spur 601, Texas"
"I-10 West at Harnose, Texas"
"I-10 West at Sunland, Texas"
"I-10 East at Mesa, Texas"
"custody at 1750 Lee, Texas"
"I-10 West at Executive, Texas"
"I-10 East at Mesa, Texas"
"I-10 West at Porfirio, Texas"
"I-10 East at Americas, Texas"
"closed at Lakeshore boulevard, Texas"
"crossing at 5003 Wasson, Texas"
"I10 westbound from Neches, Texas"
"Beaumont and Winnie is, Texas"
"Beaumont and Winnie is, Texas"
"closed and the water, Texas"
"north and west on, Texas"
"water at the foot, Texas"
"Beaumont and Winnie now, Texas"
"I10 westbound near SH146, Texas"
"Magnolia at Twin City, Texas"
"closed at Beason Creek, Texas"
"1069 and FM 136, Texas"
"closed at SH 239, Texas"
"northbound at the San, Texas"
"bridge and overturned heavy, Texas"
"I-820 to Basswood boulevard, Texas"
"I-35 northbound Exit Ramp, Texas"
"I-35 northbound FR at, Texas"
"I-35 northbound FR at, Texas"
"I-35 northbound Exit Ramp, Texas"
"I-35 northbound FR at, Texas"
"I-35 southbound FR at, Texas"
"I-820 to Basswood boulevard, Texas"
