0,1,2,3
2017-09-01 22:15:05+00:00,houstontranstar,EAST SAM HOUSTON TOLLWAY Northbound At SHIP CHANNEL/TOLL BRIDGE - Stall - Status: Cleared at 5:13 PM,
2017-09-01 21:45:05+00:00,houstontranstar,EAST SAM HOUSTON TOLLWAY Northbound At SHIP CHANNEL/TOLL BRIDGE - Stall - Status: Verified at 4:43 PM - Lanes Affected: 1 Mainlane(s),
2017-09-01 20:45:05+00:00,houstontranstar,US-90 Eastbound At CROSBY EASTGATE - Other - Status: Cleared at 3:43 PM,
2017-09-01 20:00:12+00:00,houstontranstar,IH-10 EAST Westbound At MONMOUTH DR - Other - Status: Cleared at 2:57 PM,
2017-09-01 20:00:08+00:00,houstontranstar,"IH-10 EAST Eastbound At N. MAIN/ Crosby Cedar Bayou - High Water, Road Debris - Status: Cleared at 2:57 PM",
2017-09-01 20:00:05+00:00,houstontranstar,IH-10 EAST Eastbound At MONMOUTH DR - Other - Status: Cleared at 2:56 PM,
2017-09-01 19:54:05+00:00,houstontranstar,WEST SAM HOUSTON TOLLWAY Northbound At RICHMOND AVE - Accident - Status: Cleared at 2:52 PM,
2017-09-01 19:36:05+00:00,houstontranstar,WEST SAM HOUSTON TOLLWAY Northbound At FM-1093 WESTHEIMER RD - Accident - Status: Moved at 2:34 PM - Lanes Affected: 1 Shoulder Lane(s),
2017-09-01 16:00:05+00:00,houstontranstar,"SH-105 Eastbound At APRIL SOUND BLVD - Hazmat Spill, Accident - Status: Cleared at 10:58 AM",
2017-09-01 15:45:05+00:00,houstontranstar,IH-69 Northbound At BRAZOS RIVER - High Water - Status: Verified at 10:41 AM - Lanes Affected: 2 Mainlane(s),
2017-09-01 14:36:05+00:00,houstontranstar,SH-288 Southbound Before FM-2234 MC HARD RD - Road Debris - Status: Cleared at 9:35 AM,
2017-09-01 14:06:05+00:00,houstontranstar,IH-610 SOUTH LOOP Westbound At SCOTT ST - Accident - Status: Cleared at 9:04 AM,
2017-09-01 13:51:05+00:00,houstontranstar,SH-288 Southbound Before FM-2234 MC HARD RD - Road Debris - Status: Verified at 8:47 AM - Lanes Affected: 1 Mainlane(s),
2017-09-01 13:42:05+00:00,houstontranstar,HARDY TOLL ROAD Southbound At ALDINE MAIL ROUTE - Stall - Status: Cleared at 8:40 AM,
2017-09-01 13:21:05+00:00,houstontranstar,IH-610 SOUTH LOOP Westbound At SCOTT ST - Accident - Status: Verified at 8:17 AM - Lanes Affected: 1 Shoulder Lane(s),
