,0,1,2,3
0,2020-02-09 22:21:28+00:00,ArlingtonPD,"A new era begins... Good luck to #ArlingtonTX’s newest pro sports franchise, the @XFLRenegades!!!",#ArlingtonTX
1,2020-02-09 18:02:26+00:00,ArlingtonPD,"We’re you thinking football season was over? Think again. Our own @XFLRenegades will host @XFLBattleHawks at the newest football stadium in town!Globe Life Park today at 4 pm, rain or shine. #Arlingtontx – at Globe Life Park in Arlington",#Arlingtontx
2,2020-02-08 21:10:14+00:00,ArlingtonPD,UPDATE: Great news everyone!! Our friends at #ArlingtonTX Animal Services just let us know that our #FureverFriday pup Chloe was adopted today!! Here's a picture of her with her new family!! #AmericanDreamCity,#ArlingtonTX #FureverFriday #AmericanDreamCity
3,2020-02-07 23:16:38+00:00,ArlingtonPD,"Happy #FureverFriday y'all!! This week, Investigator Heather Gibson from our Personnel &amp; Recruiting unit, got to pose with Chloe, a BEAUTIFUL 3-year-old Siberian Husky mix. If you'd like to give Chloe a furever home, you can visit her at the #ArlingtonTX Animal Shelter!!",#FureverFriday #ArlingtonTX
4,2020-02-07 15:18:42+00:00,ArlingtonPD,"As the sun rises over the Arlington Police Department parking lot, we hope you have a great day! (and maybe that it warms up just a little bit)",
5,2020-02-07 11:50:30+00:00,ArlingtonPD,"UPDATE: Mr. Starks, our Silver Alert Missing Person, was found at a local hospital and is doing well. Thank you everyone for your concern and for sharing the original post!",
6,2020-02-06 23:59:49+00:00,ArlingtonPD,Homicide Investigation We responded to an injured person at 900 Benge Dr.-4:36 p.m. We located a 16-year old male teen with an apparent gunshot wound who was later pronounced deceased at hospital. Active investigation. Anyone w/info pls call 9-1-1. Working with @ArlingtonISD,
7,2020-02-06 23:55:26+00:00,ArlingtonPD,"Ever wonder why we call our public safety center ""Ott Cribbs"" In this #ThrowbackThursday we explain why. Arthur B. ""Ott"" Cribbs started his career with the APD in 1925, was promoted to Chief in 1934 and served in that position for 37 years! https://www.arlingtontx.gov/residents/about_arlington/history_of_arlington/what_s_in_the_name_/ott_cribbs_public_safety_center",#ThrowbackThursday
8,2020-02-06 15:15:44+00:00,ArlingtonPD,"Here is the newest edition of our top ten most wanted fugitives. If you know their location, PLEASE call Crime Stoppers at 817-469-8477. Crime Stoppers of Tarrant County will pay up to $1,000 for information leading to an arrest. #TopTen #MostWanted @469",#TopTen #MostWanted
9,2020-02-05 17:52:28+00:00,ArlingtonPD,"In honor of #BlackHistoryMonth, we would like to take the time to recognize those who helped forge the path for many of our officers today. This is Teresa Ivy, APD's first African American female police officer. Your service to this community and department won't be forgotten!",#BlackHistoryMonth #BlackHistoryMonth
10,2020-02-04 13:54:23+00:00,ArlingtonPD,Inside APD highlights school partnerships with @ArlingtonISD @utarlington on our Hometown Recruiting. https://youtu.be/wtG8hTfOzP4,
11,2020-02-04 00:09:52+00:00,ArlingtonPD,Not a bad sight to end the work day! #ArlingtonTX,#ArlingtonTX
12,2020-02-02 05:56:21+00:00,ArlingtonPD,She has been found safe near IH 30 and Six Flags. Thank you for your help!,
13,2020-02-02 04:16:08+00:00,ArlingtonPD,"We need your help in locating 66-year old Toni Walker, 5’3 140lbs & wears hair in a ponytail. She was last seen wearing a gray/blue jacket, black pants, & black sneakers. She has stars tattooed on her neck. Last seen on foot around ATT Stadium at 1030 am & suffers from dementia.",
14,2020-02-01 01:56:43+00:00,ArlingtonPD,UPDATE: Wow!! You guys don’t waste any time! Our friends at Arlington Animal Services have informed us that Xena has been adopted!! Happy Friday indeed!! #ArlingtonTX,#ArlingtonTX
15,2020-01-31 15:14:38+00:00,ArlingtonPD,"Who's ready for another adorable edition of #FureverFriday?! This week, we have Investigator Jennifer Archer posing with Xena, a 2-year-old Doberman Pinscher mix. If you're interested in giving Xena a ""furever"" home, you can meet her at the #ArlingtonTX Animal Shelter!!",#FureverFriday #ArlingtonTX
16,2020-01-31 04:00:19+00:00,ArlingtonPD,Tonight’s crash scene in the 4300 block of Matlock resulted in two fatalities and three injured. The crash remains under investigation and the roadway will remain closed for a couple of hours while detectives finish up. Northbound Matlock traffic is being diverted to Center St.,
17,2020-01-31 02:10:59+00:00,ArlingtonPD,Northbound Matlock at Stevens closed due to a major crash. Traffic is being diverted eastbound on Stevens to Center. Delays in area.,
18,2020-01-29 23:19:45+00:00,ArlingtonPD,On this #WhosThatWednesday we wanted to draw your attention to our Cold Case page on our website. Call Crime Stoppers of Tarrant County at 817-469-8477 to leave a tip and remain anonymous. Crime Stoppers pays for tips. @469tips https://www.arlingtontx.gov/city_hall/departments/police/community/crime_prevention/cash_for_crooks/cold_cases,#WhosThatWednesday
19,2020-01-29 01:26:26+00:00,ArlingtonPD,"Let’s talk about blocking intersections, y’all. It’s not cool. And it’s illegal to prevent cross-traffic from getting through. Please make sure you can get all the way through an intersection before you enter one. If not, wait at the light until you can. #TrafficTipTuesday",#TrafficTipTuesday
20,2020-01-27 16:55:36+00:00,ArlingtonPD,"UPDATE: Well here's a nice little ray of sunshine to break through all the fog this morning!! Over the weekend, our #FureverFriday pup Brooks was adopted!! Here he is with his new family!! #ArlingtonTX #AmericanDreamCity",#FureverFriday #ArlingtonTX #AmericanDreamCity
21,2020-01-26 03:17:24+00:00,ArlingtonPD,"Congrats to our Explorers who placed 1st OVERALL, 3rd in Accident Investigation, 2nd in Misdemeanor Traffic Stops, 2nd in Suspicious Devices, and 2nd in Investigations at a competition today. Clay Gleason also placed third in Bicycle Challenge. https://www.arlingtontx.gov/city_hall/departments/police/community/community_programs/youth_initiatives",
22,2020-01-25 20:02:45+00:00,ArlingtonPD,"Arrest made in homicide. On Friday, we were notified of an arrest made in the murder of Cedric Dawkins which occurred on January 1, 2020. Antonio Garcia, 27-years of age, was arrested in Los Angeles, California by the @USMarshalsHQ and @LASDHQ Working on extradition.",
23,2020-01-25 14:44:26+00:00,ArlingtonPD,Working a major crash with a car that lost control and drove into a local restaurant in the 6000 block of S. Cooper this morning. The driver is unharmed and no one was inside the business. Investigators are looking into it as a possible medical issue and no charges are expected.,
24,2020-01-25 14:36:33+00:00,ArlingtonPD,Looks good.,
25,2020-01-24 19:10:55+00:00,ArlingtonPD,"Time for another edition of #FureverFriday!! This week, Det. Thomas Stellato is teaming up with Brooks, a 4-year-old German Shepherd mix. If you'd like to give Brooks a ""furever"" home, you can meet him at the #ArlingtonTX Animal Shelter, located at 1000 SE Green Oaks Blvd.",#FureverFriday #ArlingtonTX
26,2020-01-24 03:28:41+00:00,ArlingtonPD,Fatality Crash this evening at 6:02 pm on S. Bowen near Park Row Drive involving a motorcycle and SUV. Operator of motorcycle was ejected and pronounced deceased at scene. Crash remains under investigation.,
27,2020-01-23 23:36:13+00:00,ArlingtonPD,"Thought you might enjoy some photos of our new satellite Harold K. Elliott Museum at our Main Station Patrol Briefing room. Yes, we used to wear tan uniforms! #ArlingtonTX #ThrowbackThursday – at Ott Cribbs Public Safety Center",#ArlingtonTX #ThrowbackThursday
28,2020-01-23 01:38:14+00:00,ArlingtonPD,"It’s time for another edition of “Who’s That? Wednesday” — and this week, we need your help to ID this lottery looter. He’s stolen lottery tickets from multiple convenience stores in #ArlingtonTX. If you recognize him, please call Det. Stellato at (817) 459-5728.",#ArlingtonTX
29,2020-01-23 00:48:26+00:00,ArlingtonPD,UPDATE: the wreck has been cleared and Arkansas Ln has reopened.,
30,2020-01-22 23:05:48+00:00,ArlingtonPD,Working a crash involving two cars and an @ArlingtonISD school bus at 4400 W. Arkansas and 2200 Woodside. Westbound Arkansas is closed at Woodside and eastbound Arkansas is closed at Little Rd. One adult and one teen transported as a precaution. No serious injuries reported.,
31,2020-01-22 14:56:52+00:00,ArlingtonPD,"UPDATE: Need a boost on this wet, gloomy Wednesday? This oughta help! Hazel, our most recent #FureverFriday pup, has been adopted!! Here she is with her new family!! #ArlingtonTX #AmericanDreamCity",#FureverFriday #ArlingtonTX #AmericanDreamCity
32,2020-01-22 02:15:27+00:00,ArlingtonPD,"When two APD sergeants noticed that several kids at Lynn Hale Elementary were coming to school with old, worn down shoes, they mobilized the community — which delivered 200+ pairs of new shoes for the whole school! #ArlingtonTX #AmericanDreamCity",#ArlingtonTX #AmericanDreamCity
33,2020-01-22 00:14:23+00:00,ArlingtonPD,"Its our #TopTen #MostWanted. Crime Stoppers will pay up to $1,000 for information leading to the arrest of these fugitives. If you have any information on their location, PLEASE contact Safe City Commission Crime Stoppers at 817-469-8477. You can remain anonymous. @469tips",#TopTen #MostWanted
34,2020-01-21 19:44:46+00:00,ArlingtonPD,"With rain in the forecast, we wanted to “sprinkle” a few reminders on your feed about driving in wet conditions: -Make sure your wipers & tires are -If you hydroplane, steer in the direction you want to go -Slow down, leave room, don’t use cruise control #TrafficTipTuesday",#TrafficTipTuesday
35,2020-01-19 20:58:52+00:00,ArlingtonPD,"The @USMarshalsHQ in Shreveport arrested 31-year old Leah Franklin for Murder resulting from the death of Antonio Merle on January 11, 2020. Medical Examiner ruled the case a homicide. The suspect remains in the Shreveport Jail pending extradition back to Tarrant County.",
36,2020-01-18 19:39:53+00:00,ArlingtonPD,Our East Patrol District was present for the Lunar Festival at Ben Thanh Plaza in East Arlington today. It was a wonderful celebration!,
37,2020-01-17 22:38:26+00:00,ArlingtonPD,"Let's start the weekend off strong with another edition of #FureverFriday!! This week, Officer Stacie Brown had the pleasure of posing w/ Hazel, a 2-year-old terrier / pit mix. If you'd like to give Hazel a ""furever"" home, you can visit her at the #ArlingtonTX Animal Shelter.",#FureverFriday #ArlingtonTX
38,2020-01-17 21:01:23+00:00,ArlingtonPD,"So they got with the Arlington Police Foundation — and together, they were able to get 200 pairs of brand new shoes for every student at the school. This afternoon, we got to surprise the kids with their new shoes — and other shwag that was donated! #ArlingtonTX",#ArlingtonTX
39,2020-01-17 20:56:29+00:00,ArlingtonPD,"There’s no greater gift we can give the students of this community than our love and support. Today, the kids at Lynn Hale Elementary experienced that firsthand. Our officers who work at the school noticed that a lot of the students were coming to school with worn down shoes...",
