,0,1,2,3
0,2020-02-09 17:28:10+00:00,DallasPD,"The Dallas Police Department is seeking the public’s assistance in locating Critical Missing person, Alee Arnold, jr.",
1,2020-02-08 17:06:59+00:00,DallasPD,Congratulations to the 37th Junior Police Academy Class. @DPDCA,
2,2020-02-07 19:15:06+00:00,DallasPD,Love shouldn't hurt. Don't hurt the ones you love. #DomesticViolenceAwareness @ChiefHallDPD,#DomesticViolenceAwareness
3,2020-02-07 15:43:56+00:00,DallasPD,#HappyFriday from #DPDAir1 @ChiefHallDPD,#HappyFriday #DPDAir1
4,2020-02-07 14:30:16+00:00,DallasPD,Juvenile arrested for homicide on Meyers Street. Click link for details.,
5,2020-02-07 03:54:12+00:00,DallasPD,The Dallas Police Department is asking for the Public’s assistance in identifying suspects.,
6,2020-02-07 03:17:14+00:00,DallasPD,"Did you know you could file certain police reports online? See below for a full list. You can always call to have an officer file the report, but now you have the option to do the report online. @ChiefHallDPD",
7,2020-02-06 22:24:40+00:00,DallasPD,Traffic has reopend at : Harwood/Main St Pearl/Commerce Pearl/Main @ChiefHallDPD,
8,2020-02-06 22:03:12+00:00,DallasPD,@DallasPD and @dfrincidents are currently on location in the 2000 block of Main St regarding a suspicious package. Roads are closed for safety precation at: Harwood/Main St Pearl/Commerce Pearl/Main @ChiefHallDPD,
9,2020-02-06 21:51:11+00:00,DallasPD,"Public Assistance Needed in Assault on Knight Street. Detectives are currently investigating all possible motives or leads & ask that if anyone has info, please contact Det. Gaffney at derek.gaffney@dallascityhall.com or 214-671-3703. @ChiefHallDPD",
10,2020-02-06 20:16:23+00:00,DallasPD,"Is your vehicle one of the top stolen in Texas? Be sure to Lock, Take, and Hide! Don’t be a victim, do your part, and protect your vehicle and your valuables. #LockTakeHide @ChiefHallDPD",#LockTakeHide
11,2020-02-06 18:01:58+00:00,DallasPD,Our next #ListeningSession is February 18th in District 11. Join Chief Hall and Council Member Lee M. Kleinman at the Churchill Recreation Center. This is a working session and we want to hear your input on our 5-year strategic plan. See flyer for details! @ChiefHallDPD,#ListeningSession
12,2020-02-06 02:38:59+00:00,DallasPD,"iWatch Dallas, download the app today! If You See Something, Say Something! #iWatch #Dallas @ChiefHallDPD",#iWatch #Dallas
13,2020-02-06 01:03:19+00:00,DallasPD,Discussions are happening at the #ListeningSession for District 12 about the 5-Year Strategic Plan. @ChiefHallDPD @DPDCA @caraathome,#ListeningSession
14,2020-02-06 00:22:14+00:00,DallasPD,#ListeningSession for District 12 has begun with @ChiefHallDPD and @caraathome. @DPDCA,#ListeningSession
15,2020-02-05 23:06:15+00:00,DallasPD,"Keeping Dallas Safe - Money, Drugs, and Rifle Taken Off the Street @ChiefHallDPD",
16,2020-02-05 16:23:09+00:00,DallasPD,Honoring #BlackHistoryMonth2020 @ChiefHallDPD,#BlackHistoryMonth2020
17,2020-02-05 15:02:07+00:00,DallasPD,#Reminder: District 12 #ListeningSession with @ChiefHallDPD and Council Member Cara Mendelsohn is tonight! We want to hear from you! See below for details!,#Reminder #ListeningSession
18,2020-02-04 22:54:09+00:00,DallasPD,"Through the course of the investigation, Det Belew has determined that the below individual is responsible for the murder on Corckrell Hill Rd. Anyone who knows the identity &/or whereabouts of this person is asked to call 911 or 214-422-9275. Blog Story:https://wp.me/p43x0e-a5U",
19,2020-02-04 22:17:08+00:00,DallasPD,The forecast is calling for inclement weather tonight. Be #weatheraware and drive safe. @ChiefHallDPD,#weatheraware
20,2020-02-04 16:50:12+00:00,DallasPD,Congratulations to all of our newly promoted officers! @ChiefHallDPD,
21,2020-02-04 16:48:02+00:00,DallasPD,"Promoted to the rank of Deputy Chief are William Griffith, Reuben Ramirez, and Teena Schultz. @ChiefHallDPD",
22,2020-02-04 16:40:12+00:00,DallasPD,"Accepting their promotions for Major are: Monique Alex, David Davis, Michael Dominguez, Osama Ismail, Jim Lewis, John Madison, Terrence Rhodes, Juan Salas, and Samuel Sarmiento. @ChiefHallDPD",
