,0,1,2,3
0,2016-10-30 20:51:45+00:00,DentonPolice,"Investigating mismatch of name / photo. Until then, view the source directly from ""City Jail Custody Report"" page: http://dpdjailview.cityofdenton.com/",
1,2016-10-30 16:59:03+00:00,DentonPolice,"10/30/2016 08:44:23 Regina, 39 yrs old Bond: $10,000 DRIVING WHILE INTOXICATED 3RD OR MORE https://www.change.org/petitions/denton-police-department-make-mug-shots-available-on-request-instead-of-putting-all-of-them-online",
2,2016-10-30 13:52:19+00:00,DentonPolice,"10/29/2016 17:03:18 Steven, 26 yrs old Bond: $2,024 SPEEDING 73MPH IN A 55MPH ZONE DL DRIVING WHILE LICENSE INVALI",
3,2016-10-26 21:45:57+00:00,DentonPolice,"10/25/2016 22:59:57 Monique, 39 yrs old Bond: $500 POSS MARIJ &lt; 2OZ https://www.change.org/petitions/denton-police-department-make-mug-shots-available-on-request-instead-of-putting-all-of-them-online",
4,2016-10-26 21:09:45+00:00,DentonPolice,"10/25/2016 21:37:00 Katelyn, 24 yrs old Bond: $500 PUBLIC INTOXICATION-NON-ALCOHOL https://www.change.org/petitions/denton-police-department-make-mug-shots-available-on-request-instead-of-putting-all-of-them-online",
5,2016-10-26 15:38:23+00:00,DentonPolice,"10/25/2016 17:02:30 Early, 30 yrs old Bond: $6,211 SPEEDING 46 IN A 30 MPHZ NO DRIVERS LICENSE EXPIRED INSPECTION",
6,2016-10-26 14:28:21+00:00,DentonPolice,"10/25/2016 12:07:44 Carlancia, 28 yrs old Bond: $20,000 THEFT W/ TWO PRIOR CONVICTIONS THEFT W/ TWO PRIOR CONVICTI",
7,2016-10-25 17:39:15+00:00,DentonPolice,"10/24/2016 18:49:59 Thomas, 35 yrs old Bond: $3,690 SEX OFFENDERS FAILURE TO COMPLY/CIVIL DENTON CO JP1 WARRANT /",
8,2016-10-25 16:08:03+00:00,DentonPolice,Found a newer mug shot for Frank. (10/24/2016 17:18:00),
9,2016-10-25 13:47:13+00:00,DentonPolice,"10/24/2016 17:18:00 Frank, 67 yrs old Bond: $375 DENTON PD WARRAN T / ALCOHOL PUBLIC INTOXICATION",
10,2016-10-25 09:08:54+00:00,DentonPolice,"10/24/2016 11:35:26 Kyeem, 21 yrs old Bond: $2,500 ASSLT CAUSES BODILY INJ https://www.change.org/petitions/denton-police-department-make-mug-shots-available-on-request-instead-of-putting-all-of-them-online",
11,2016-10-24 09:31:38+00:00,DentonPolice,"10/23/2016 22:54:00 Salena, 38 yrs old AGG ASSLT CAUSES SEROUS BODILY INJURY RESIST ARREST SEARCH OR TRANSP",
12,2016-10-23 03:11:55+00:00,DentonPolice,"10/22/2016 21:27:01 Jesse, 29 yrs old PUBLIC INTOXICATION W/3 PRIOR CONVICTIONS https://www.change.org/petitions/denton-police-department-make-mug-shots-available-on-request-instead-of-putting-all-of-them-online",
13,2016-10-22 16:46:51+00:00,DentonPolice,"10/21/2016 12:01:26 Jessica, 34 yrs old PAROLE VIOLATION FALSE DRUG TEST FALSIFICATION DEVICE",
14,2016-10-21 17:48:19+00:00,DentonPolice,"10/20/2016 13:21:06 Faith, 18 yrs old Bond: $1,275 DL NO DRIVER'S LICENSE THEFT PROP &gt; =$750 &lt; $2,500",
15,2016-10-20 17:21:24+00:00,DentonPolice,"10/20/2016 12:00:23 Carlos, 19 yrs old Bond: $750 TURNED WHEN UNSAFE DISORDERLY CONDUCT / NOISE",
16,2016-10-20 13:32:48+00:00,DentonPolice,"10/19/2016 12:30:52 Todd, 27 yrs old FRAUD USE/POSS IDENTIFYING INFO #ITEMS 5 &lt; 10 https://www.change.org/petitions/denton-police-department-make-mug-shots-available-on-request-instead-of-putting-all-of-them-online",
