,0,1,2,3
0,2020-02-09 19:47:30+00:00,GarlandPD,Press Release - Man Arrested for Two Counts of Aggravated Assault After Leading Officers in Vehicle Pursuit,
1,2020-02-06 23:40:53+00:00,GarlandPD,"Now Hiring-Public/Media Relations Specialist-This position will help maintain positive public/media relations, coordinate GPD's social media, assist & oversee dept. digital/print/video productions. Promote GPD programs & work w/ news agencies. More info: http://www.garlandpolice.com",
2,2020-02-06 20:17:27+00:00,GarlandPD,"Can you imagine the message we can send to criminals if they know there are video surveillance cameras in neighborhoods? If you are interested in learning more, go to http://www.garlandpolice.com 5/END",
3,2020-02-06 20:17:11+00:00,GarlandPD,...The goal is to provide a simple process for investigators and officers to identify citizens and businesses who are willing to assist in criminal investigations that have video systems... 4/,
4,2020-02-06 20:16:49+00:00,GarlandPD,...The map will provide contact information for who can access the footage and how to contact them. That person will be asked to review their system to identify any footage that might be useful in an investigation.... 3/,
5,2020-02-06 20:16:04+00:00,GarlandPD,"...capture images of suspects. If a crime occurs, a police officer or detective can review the interactive map to identify locations that may have footage to assist in an investigation... 2/",
6,2020-02-06 20:15:19+00:00,GarlandPD,**Video Crime Watch** Multiple posts explaining... Did you know the Garland Police Department has a Video Crime Watch Program? More and more people are adding private surveillance systems to their homes and businesses in an effort to deter crime and... 1/,
7,2020-02-06 13:26:44+00:00,GarlandPD,"**Traffic Alert* E/B & W/B lanes on W. Kingsley between Jupiter & Industrial are closed due to road repairs. Last night, workers stuck a gas pipe. The gas leak is under control but the road is being repaired. Should be open at noon. Use alternate routes if possible. #Garlandtx",#Garlandtx
8,2020-02-04 12:20:47+00:00,GarlandPD,"We’re currently working 2 crash locations on LBJ. One E/B near Jupiter & one W/B near Norhtwest Hwy. Traffic is moving, but slowly. Use alternate routes if possible while we get the roads clear. With the roads wet let’s slow down to make sure we get where we’re going. #drivesafe",#drivesafe
9,2020-02-02 23:24:09+00:00,GarlandPD,Are you ready for some football?! We hope everyone has a great evening celebrating Super Bowl LIV. If you have adult beverages make sure you do what a good quarterback would do... HAND OFF the keys to a sober driver who can score you a safe ride home. #ArriveAlive #SuperBowlLIV,#ArriveAlive #SuperBowlLIV
10,2020-02-02 02:30:49+00:00,GarlandPD,"Some people ask what we do on our time off, & the answer is... we do lots of things. Tonight is the “Sweetheart Dance” at the Atrium in Garland & NPO LT. Chris Trusty is enjoying an evening with his daughter. This is an annual tradition he doesn’t miss out on. #MYMGarland",#MYMGarland
11,2020-01-31 16:49:42+00:00,GarlandPD,Prep Montessori Academy had officer Irizarry come out and speak to the children about Safety and Stranger Danger.,
12,2020-01-30 16:21:56+00:00,GarlandPD,Now Hiring Public Safety Dispatchers- Join the Garland Police Dept. & be the first point of contact with the public. To learn more about this amazing opportunity & how you can make a difference click here: https://external-garland.icims.com/…/public-safety-disp…/job,
13,2020-01-30 02:25:59+00:00,GarlandPD,Shout out to Garland Cub Scout Pack #434. Thanks for coming to the Police Department to learn more about law enforcement.,
14,2020-01-29 22:05:20+00:00,GarlandPD,**Update**Update**Update**01/29/20_4:03pm** Anthony Allen has been located and is safe. Thanks to everyone for sharing this information in an attempt to find him.,
15,2020-01-29 04:50:04+00:00,GarlandPD,"Searching for *CRITICAL MISSING* 64-yr-old Allen Anthony Jr., has dementia, from the 5700 blk of Valley Park @1p today. 6’3”, 146 lbs, bald w/ stubble hair, brn eyes. Right hand is fixed in a fist w/ index finger extended, has a limp/heavy foot & speaks slowly. Call 911 if found",
16,2020-01-28 18:26:47+00:00,GarlandPD,Enjoying lunch at @scottyps with our friends at @callmilestone Thanks for showing us support and being a big part of the #garlandtx community! #mymgarland,#garlandtx #mymgarland
17,2020-01-24 18:06:55+00:00,GarlandPD,We love our #firefighters. As you can see it’s written on our squad car. “Yous” guys are just sooo funny. Of course we had to get it washed... really we were on the way. Great time to remind everyone to stay alert while driving. Stay safe Garland. @GarlandFire #mymgarland,#firefighters #mymgarland
18,2020-01-24 16:40:49+00:00,GarlandPD,"The Garland Police Department Boxing Gym Program, once again, fights it out at the Golden Gloves. So far they've received 11 medals & one will compete in the championship tonight. Way to go everyone. Good luck! #policeboxing #MYMGarland #gunsandhoses #hellashrine #goldengloves",#policeboxing #MYMGarland #gunsandhoses #hellashrine #goldengloves
19,2020-01-23 21:33:41+00:00,GarlandPD,Here we were working an accident scene on Belt Line at Wagon Wheel in 1971. Who can remember this intersection when it looked like this? Throw up some pics of 1971 if you got them. #TBT #dirtroads #wayback,#TBT #dirtroads #wayback
20,2020-01-22 18:32:45+00:00,GarlandPD,Here is Officer Pesta speaking with these amazing 2 to 5 year olds at Poised for Success Learning Academy. Nothing warms our hearts more than spending time with these youngsters. #strangerdanger #thefuture,#strangerdanger #thefuture
21,2020-01-22 16:33:36+00:00,GarlandPD,2 suspects took this truck & trailer from the 2000 blk of Sunnybrook. THIS IS NOT OK! HELP us ID these thieves and get them off the streets! If you have info call Det. Martin @9/205-2065. Tips can be anonymous @http://garlandcrimestoppers.org or 972-272-8477 Reference #2019R032393,#2019R032393
22,2020-01-22 03:26:17+00:00,GarlandPD,Kudos to these individuals for making it to the Civil Service Exam Prep Course. #Dowhatittakes Good luck!,#Dowhatittakes
23,2020-01-21 22:02:25+00:00,GarlandPD,Did you know the GPD has a residential Lockbox Program. It's a free program open to all Garland residents who live alone or are left alone on a regular basis. Residents must be 65 or older or under 65 with a major medical issue. Click here for more info: http://www.garlandpolice.com/469/Residential-Lockbox-Program,
24,2020-01-21 19:16:52+00:00,GarlandPD,"Thanks @buddywatchwalk for stopping by the @GarlandPD in your journey to bring awareness to PTSD, Homelessness, MST, Addiction, &amp; everything that is leading our Veterans to commit suicide. What an example of making a difference, one step at a time. https://www.facebook.com/964319733710219/posts/1720677251407793/",
