,0,1,2,3
0,2020-02-07 13:48:37+00:00,RichardsonTX_PD,"Today we remember Ofc. David Sherrard, badge #1078. On Feb 7, 2018, Ofc. Sherrard was shot and killed in the line of duty, responding to a disturbance call. Ofc. Sherrard and his family will always be in our thoughts and he will never be forgotten for his courage and sacrifice.",
1,2020-02-06 17:03:47+00:00,RichardsonTX_PD,"Plan ahead: This weekend (02/08 - 02/09), full closure of Main St. between Interurban St. and McKinney St.",
2,2020-01-31 17:09:25+00:00,RichardsonTX_PD,"Yesterday, we held a retirement ceremony for Ofc. Ron Ridley (25yrs), and today we continued with a second retirement celebration for Det. Adam Perry (24yrs). Please join us in congratulating them on their outstanding careers. Thanks to both of you for your dedicated service.",
3,2020-01-29 19:15:26+00:00,RichardsonTX_PD,Today we had the pleasure of hosting a meeting for the North Texas Police Chiefs Association. Chief Spivey welcomed attendees and Captain Tittle delivered the invocation prayer. Tours were given of our new building after a presentation. Thank you to those who attended.,
4,2020-01-27 17:49:08+00:00,RichardsonTX_PD,"Homicide Investigation Update - Arrest The Richardson Police Department has charged 21-year-old Howard Lamone Handy Jr. from Mesquite, TX with Murder. He is currently in custody at the Dallas County Jail. See previous press release for more info: https://www.richardsonpolice.net/home/showdocument?id=28059",
5,2020-01-25 18:22:45+00:00,RichardsonTX_PD,Thank to everyone for joining us to today for our grand opening event!,
6,2020-01-25 16:41:23+00:00,RichardsonTX_PD,Getting ready for the grand opening of our new Public Safety Campus. Very “cool” ice sculpture!,
7,2020-01-21 22:06:09+00:00,RichardsonTX_PD,Homicide Investigation UPDATE: RPD is currently investigating a homicide that occurred 01/21/20 at 900 Frances Way. Detectives have identified 21yoa Howard Lamone Handy Jr. from Mesquite as a person of interest. If you have any information please contact us at 972/744-4800.,
8,2020-01-21 19:07:31+00:00,RichardsonTX_PD,Media Release - Homicide - 900 Frances Way.,
9,2020-01-17 14:06:50+00:00,RichardsonTX_PD,"Our next Rape Aggression Defense (R.A.D.) class is for mothers and daughters (14yo and up). Free training will be held Feb 18 – 20, 2020. Must live or work in Richardson. Class size is limited, learn more and register at: https://www.richardsonpolice.net/i-want-to/sign-up-for/r-a-d-rape-aggression-defense",
10,2020-01-09 16:57:33+00:00,RichardsonTX_PD,Thank You for all the great treats! @okieuk,
11,2020-01-09 14:06:23+00:00,RichardsonTX_PD,"Today is #LawEnforcmentAppreciationDay ! Thank you for the appreciation you continually show us throughout the year. Richardson is fortunate to have citizens that support and partner with us in the fight against crime. To our LE partners, we appreciate the work you do every day.",#LawEnforcmentAppreciationDay
12,2020-01-08 17:39:24+00:00,RichardsonTX_PD,"Car gun safes are a deterrent, many different types. You want to create obstacles or layers of security. Most vehicle burglaries are crimes of opportunity.",
13,2020-01-08 14:35:17+00:00,RichardsonTX_PD,"On 01/07/20 patrol officers arrested 25yo Emanuel Smith after identifying him as a suspect in several vehicle burglaries in the area of 2700 Routh Creek Parkway. A stolen handgun and credit cards were among items recovered. Remove firearms when you Lock, Take and Hide!",
14,2020-01-02 17:09:51+00:00,RichardsonTX_PD,"Introducing our new rookie, K9 Remi! She is a 22-month-old German Sheppard and will be partnered with Officer Cubberly who recently worked with retired K9 Ringo. Welcome to Richardson PD, Remi! #K9 #PoliceK9 #GermanShepherd",#K9 #PoliceK9 #GermanShepherd
