,0,1,2,3
0,2019-10-13 00:33:05+00:00,WacoPolice,Traffic on interstate 35 has resumed normal routes. Both north and southbound lanes have been reopened however traffic delays will continue for awhile.,
1,2019-10-13 00:06:12+00:00,WacoPolice,Interstate 35 traffic is stopped in both directions at Highway 6. No traffic is being allowed to pass under the Highway 6 overpass. Please avoid the area and take alternate routes.,
2,2019-09-18 22:52:58+00:00,WacoPolice,,
3,2019-08-07 21:09:26+00:00,WacoPolice,,
4,2019-06-21 16:25:52+00:00,WacoPolice,Great job guys!!! Thank you for representing our great State of Texas so well!!!!,
5,2019-06-21 15:49:14+00:00,WacoPolice,"Our hearts, thoughts, and prayers go out to our brothers and sisters in blue as well as to the Mission, Texas community and its citizens. Rest in peace hero and thank you for holding the line. Sgt. Swanton",
6,2019-06-18 16:10:28+00:00,WacoPolice,Serious answer....Uh...no.,
7,2019-05-03 15:43:32+00:00,WacoPolice,Wondered if anyone would catch that.,
8,2019-05-03 14:57:03+00:00,WacoPolice,"We enjoyed hosting the Criminal Justice students from Moody High School! They got to tour Waco PD! SWAT, K-9, Crime Scene, Police Museum, and Dispatch are some of the things they got to experience today.",
9,2019-05-02 22:53:29+00:00,WacoPolice,"Most street level flooding has subsided. It is safer to travel now. Still, please use an abundance of caution and remember it does not take much water to float a vehicle. Continue to keep an eye on flood prone areas, creeks and low-water crossings. Sgt. Swanton",
10,2019-05-02 22:11:32+00:00,WacoPolice,"The key thing to note here is if you get trapped in fast moving or high water we may not make it to you in time, changing a rescue call into a body recovery. At this time Waco PD and Waco Fire are working... https://www.facebook.com/WacoPoliceDepartment/posts/2086484361400109",
11,2019-05-02 21:47:32+00:00,WacoPolice,"Okay, let me make this clear. You are putting yourself in harm's way if you attempt to navigate a vehicle at this time. Due to heavy rain, multiple streets are flooded and we are working multiple calls of... https://www.facebook.com/WacoPoliceDepartment/posts/2086462778068934",
12,2019-05-02 21:42:41+00:00,WacoPolice,We are getting multiple reports of street flooding and cars stalled in water across the Waco area. It is highly recommended that if you do not have to drive right now DO NOT!!!!,
13,2019-05-02 13:26:34+00:00,WacoPolice,"Update to Reported Kidnapping On 5-1-19 about 11:30 pm, Waco Officers responded to a reported kidnapping of two children. Initial reports from the children's mother were that a person known to her had taken... https://www.facebook.com/WacoPoliceDepartment/posts/2085874161461129",
