,0,1,2,3
0,2020-02-09 16:01:20+00:00,FriscoPD,"Frisco PD is committed to raising awareness about teen dating violence, protecting the victims, and ending dating abuse. Everyone has a part, even if that one thing seems small in the moment. What #1Thing will you do? For more info, visit http://www.loveisrespect.org. #TDVAM2020",#1Thing #TDVAM2020
1,2020-02-09 03:00:04+00:00,FriscoPD,"Tell burglars to go fly a kite by doing the #9PMRoutine tonight and every night. Remove the valuables and guns from your car and lock it up. Then close your garage and turn on your outside lights! Your Community, Your Commitment #YC2 #NationalKiteFlyingDay",#9PMRoutine #YC2 #NationalKiteFlyingDay
2,2020-02-09 02:44:38+00:00,FriscoPD,Circumstances like this need to be reported using our non-emergency number. Our social media is not monitored 24/7 and should not be used to summon a police response.,
3,2020-02-08 23:23:00+00:00,FriscoPD,Our Fightin’ Frisco High School Raccoons appreciate it!,
4,2020-02-08 18:16:20+00:00,FriscoPD,"With tax season upon us, scammers will be calling and using other methods to steal your identity. Arm yourself with the tools and info that can stop them!",
5,2020-02-08 03:00:03+00:00,FriscoPD,"The #9PMRoutine is one of the basic elements in crime prevention. So don't be inert, remove the valuables and guns from your car and lock it up. Then close your garage and turn on your outside lights! Your Community, Your Commitment #YC2 #PeriodicTableDay",#9PMRoutine #YC2 #PeriodicTableDay
6,2020-02-07 22:02:47+00:00,FriscoPD,"SHARE - The subjects pictured are suspected of theft at Sprint. If you recognize either person or have additional information, please message us here or call 972-292-6200. Reference report #19130897.",
7,2020-02-07 19:22:08+00:00,FriscoPD,"TRAFFIC UPDATE - 02.07.2020 @1319 The intersection of southbound 121 and Hillcrest has reopened. Thanks for your understanding and patience, which helps ensure the safety of the police and fire units at the scene.",
8,2020-02-07 18:36:58+00:00,FriscoPD,TRAFFIC ALERT - 02.07.2020 @1233 The intersection of southbound 121 and Hillcrest is currently shut down due to a crash. Please avoid the area and find an alternate route.,
9,2020-02-07 17:54:52+00:00,FriscoPD,"Sending prayers to our Blue families in Alabama and Florida. Ofc. Nick O'Rear (Kimberly Police Dept.) was shot and killed during a pursuit, and Trp. Joseph Bullock (Florida Highway Patrol) was shot and killed on a motorist assist. These heroes will never be forgotten. @FLHSMV",
10,2020-02-07 12:01:04+00:00,FriscoPD,"Diversity has played an integral role in the growth and success of our nation, our state, and our community. During #BlackHistoryMonth, we celebrate important pioneers who have figured prominently in our past and whose legacy continues to influence our present.",#BlackHistoryMonth #BlackHistoryMonth
11,2020-02-07 03:00:04+00:00,FriscoPD,"The only ""Blizzard"" you can count on in Texas. Don't forget to count on your #9PMROUTINE! Get the guns and valuables out of your car, lock it up. Then close your garage and turn on your outside lights. Your Community, Your Commitment #YC2 #BLIZZARDFAIL2020",#9PMROUTINE #YC2 #BLIZZARDFAIL2020
